using device: cpu
Loading pretrained GPT-2 model: gpt2
loaded 338025 tokens
1 epoch = 2640 batches
Using OneCycleLR scheduler with max_lr=0.0003 and total_steps=10000
step 301, loss: 4.2152, current_lr: 0.000019
step 302, loss: 3.3439, current_lr: 0.000019
step 303, loss: 3.9807, current_lr: 0.000019
step 304, loss: 3.5893, current_lr: 0.000019
step 305, loss: 3.6690, current_lr: 0.000019
step 306, loss: 3.0189, current_lr: 0.000019
step 307, loss: 4.3265, current_lr: 0.000019
step 308, loss: 2.9770, current_lr: 0.000019
step 309, loss: 4.1754, current_lr: 0.000020
step 310, loss: 2.9421, current_lr: 0.000020
step 311, loss: 3.3949, current_lr: 0.000020
step 312, loss: 4.4657, current_lr: 0.000020
step 313, loss: 3.7070, current_lr: 0.000020
step 314, loss: 3.9247, current_lr: 0.000020
step 315, loss: 3.9710, current_lr: 0.000020
step 316, loss: 3.5114, current_lr: 0.000020
step 317, loss: 4.4400, current_lr: 0.000020
step 318, loss: 3.4718, current_lr: 0.000020
step 319, loss: 4.5899, current_lr: 0.000020
step 320, loss: 3.0444, current_lr: 0.000020
step 321, loss: 4.0384, current_lr: 0.000020
step 322, loss: 3.7417, current_lr: 0.000020
step 323, loss: 4.6851, current_lr: 0.000020
step 324, loss: 4.9502, current_lr: 0.000020
step 325, loss: 3.9524, current_lr: 0.000020
step 326, loss: 4.5410, current_lr: 0.000020
step 327, loss: 4.1979, current_lr: 0.000020
step 328, loss: 4.0018, current_lr: 0.000020
step 329, loss: 3.6900, current_lr: 0.000021
step 330, loss: 3.6911, current_lr: 0.000021
step 331, loss: 3.4237, current_lr: 0.000021
step 332, loss: 4.7365, current_lr: 0.000021
step 333, loss: 4.5092, current_lr: 0.000021
step 334, loss: 3.9946, current_lr: 0.000021
step 335, loss: 3.8349, current_lr: 0.000021
step 336, loss: 4.4072, current_lr: 0.000021
step 337, loss: 4.3791, current_lr: 0.000021
step 338, loss: 4.2597, current_lr: 0.000021
step 339, loss: 4.4376, current_lr: 0.000021
step 340, loss: 3.5654, current_lr: 0.000021
step 341, loss: 3.4854, current_lr: 0.000021
step 342, loss: 3.5873, current_lr: 0.000021
step 343, loss: 3.2992, current_lr: 0.000021
step 344, loss: 3.2718, current_lr: 0.000021
step 345, loss: 4.1722, current_lr: 0.000021
step 346, loss: 3.7353, current_lr: 0.000021
step 347, loss: 3.5256, current_lr: 0.000021
step 348, loss: 4.2816, current_lr: 0.000022
step 349, loss: 3.4570, current_lr: 0.000022
step 350, loss: 3.5520, current_lr: 0.000022
step 351, loss: 3.9085, current_lr: 0.000022
step 352, loss: 3.4817, current_lr: 0.000022
step 353, loss: 4.0381, current_lr: 0.000022
step 354, loss: 4.1738, current_lr: 0.000022
step 355, loss: 3.9238, current_lr: 0.000022
step 356, loss: 4.0620, current_lr: 0.000022
step 357, loss: 3.4812, current_lr: 0.000022
step 358, loss: 3.7576, current_lr: 0.000022
step 359, loss: 4.0749, current_lr: 0.000022
step 360, loss: 3.1018, current_lr: 0.000022
step 361, loss: 4.1568, current_lr: 0.000022
step 362, loss: 3.7426, current_lr: 0.000022
step 363, loss: 3.6362, current_lr: 0.000022
step 364, loss: 3.9933, current_lr: 0.000022
step 365, loss: 2.8049, current_lr: 0.000022
step 366, loss: 3.7122, current_lr: 0.000023
step 367, loss: 3.7458, current_lr: 0.000023
step 368, loss: 4.3262, current_lr: 0.000023
step 369, loss: 4.8880, current_lr: 0.000023
step 370, loss: 4.6037, current_lr: 0.000023
step 371, loss: 4.8923, current_lr: 0.000023
step 372, loss: 3.8542, current_lr: 0.000023
step 373, loss: 4.2942, current_lr: 0.000023
step 374, loss: 4.1290, current_lr: 0.000023
step 375, loss: 4.3623, current_lr: 0.000023
step 376, loss: 4.3849, current_lr: 0.000023
step 377, loss: 4.1106, current_lr: 0.000023
step 378, loss: 3.5361, current_lr: 0.000023
step 379, loss: 3.6064, current_lr: 0.000023
step 380, loss: 3.6808, current_lr: 0.000023
step 381, loss: 3.6250, current_lr: 0.000023
step 382, loss: 3.5544, current_lr: 0.000023
step 383, loss: 4.4252, current_lr: 0.000023
step 384, loss: 4.4510, current_lr: 0.000024
step 385, loss: 4.4354, current_lr: 0.000024
step 386, loss: 4.7270, current_lr: 0.000024
step 387, loss: 4.0154, current_lr: 0.000024
step 388, loss: 3.6504, current_lr: 0.000024
step 389, loss: 3.9915, current_lr: 0.000024
step 390, loss: 4.6132, current_lr: 0.000024
step 391, loss: 4.0720, current_lr: 0.000024
step 392, loss: 3.9373, current_lr: 0.000024
step 393, loss: 3.8269, current_lr: 0.000024
step 394, loss: 3.2483, current_lr: 0.000024
step 395, loss: 3.7717, current_lr: 0.000024
step 396, loss: 2.9963, current_lr: 0.000024
step 397, loss: 2.9457, current_lr: 0.000024
step 398, loss: 3.7007, current_lr: 0.000024
step 399, loss: 3.2591, current_lr: 0.000024
step 400, loss: 2.8415, current_lr: 0.000025
step 401, loss: 2.3458, current_lr: 0.000025
Saved best model with loss: 2.3458 to fine_tuned_gpt2\gpt2_finetuned_best_loss_2.3458.pt
step 402, loss: 3.5817, current_lr: 0.000025
step 403, loss: 4.6271, current_lr: 0.000025
step 404, loss: 4.6534, current_lr: 0.000025
step 405, loss: 3.5568, current_lr: 0.000025
step 406, loss: 2.8172, current_lr: 0.000025
step 407, loss: 2.0833, current_lr: 0.000025
Saved best model with loss: 2.0833 to fine_tuned_gpt2\gpt2_finetuned_best_loss_2.0833.pt
step 408, loss: 3.2491, current_lr: 0.000025
step 409, loss: 4.1386, current_lr: 0.000025
step 410, loss: 3.0690, current_lr: 0.000025
step 411, loss: 4.1845, current_lr: 0.000025
step 412, loss: 4.7797, current_lr: 0.000025
step 413, loss: 4.2546, current_lr: 0.000025
step 414, loss: 3.6605, current_lr: 0.000025
step 415, loss: 3.4332, current_lr: 0.000025
step 416, loss: 4.0772, current_lr: 0.000026
step 417, loss: 3.8614, current_lr: 0.000026
step 418, loss: 3.4708, current_lr: 0.000026
step 419, loss: 4.3686, current_lr: 0.000026
step 420, loss: 4.5361, current_lr: 0.000026
step 421, loss: 3.8161, current_lr: 0.000026
step 422, loss: 4.0059, current_lr: 0.000026
step 423, loss: 3.7638, current_lr: 0.000026
step 424, loss: 3.7827, current_lr: 0.000026
step 425, loss: 3.9579, current_lr: 0.000026
step 426, loss: 3.9315, current_lr: 0.000026
step 427, loss: 3.5292, current_lr: 0.000026
step 428, loss: 3.8225, current_lr: 0.000026
step 429, loss: 3.5928, current_lr: 0.000026
step 430, loss: 3.4497, current_lr: 0.000026
step 431, loss: 4.0011, current_lr: 0.000026
step 432, loss: 3.3236, current_lr: 0.000027
step 433, loss: 4.1335, current_lr: 0.000027
step 434, loss: 3.3563, current_lr: 0.000027
step 435, loss: 4.4898, current_lr: 0.000027
step 436, loss: 3.9754, current_lr: 0.000027
step 437, loss: 3.8996, current_lr: 0.000027
step 438, loss: 4.6501, current_lr: 0.000027
step 439, loss: 2.9728, current_lr: 0.000027
step 440, loss: 3.1675, current_lr: 0.000027
step 441, loss: 4.0248, current_lr: 0.000027
step 442, loss: 3.5251, current_lr: 0.000027
step 443, loss: 3.1937, current_lr: 0.000027
step 444, loss: 4.0930, current_lr: 0.000027
step 445, loss: 3.8737, current_lr: 0.000027
step 446, loss: 3.6748, current_lr: 0.000028
step 447, loss: 3.2129, current_lr: 0.000028
step 448, loss: 3.0570, current_lr: 0.000028
step 449, loss: 3.7819, current_lr: 0.000028
step 450, loss: 3.5595, current_lr: 0.000028
step 451, loss: 4.5123, current_lr: 0.000028
step 452, loss: 3.8067, current_lr: 0.000028
step 453, loss: 3.4869, current_lr: 0.000028
step 454, loss: 3.8005, current_lr: 0.000028
step 455, loss: 4.4260, current_lr: 0.000028
step 456, loss: 4.3245, current_lr: 0.000028
step 457, loss: 3.7908, current_lr: 0.000028
step 458, loss: 4.7186, current_lr: 0.000028
step 459, loss: 4.2714, current_lr: 0.000028
step 460, loss: 3.4654, current_lr: 0.000028
step 461, loss: 4.1647, current_lr: 0.000029
step 462, loss: 3.0462, current_lr: 0.000029
step 463, loss: 3.6324, current_lr: 0.000029
step 464, loss: 3.6124, current_lr: 0.000029
step 465, loss: 3.4430, current_lr: 0.000029
step 466, loss: 3.3527, current_lr: 0.000029
step 467, loss: 4.1875, current_lr: 0.000029
step 468, loss: 4.0371, current_lr: 0.000029
step 469, loss: 3.6043, current_lr: 0.000029
step 470, loss: 2.8205, current_lr: 0.000029
step 471, loss: 3.0763, current_lr: 0.000029
step 472, loss: 4.2550, current_lr: 0.000029
step 473, loss: 3.6886, current_lr: 0.000029
step 474, loss: 3.5049, current_lr: 0.000029
step 475, loss: 4.0779, current_lr: 0.000030
step 476, loss: 3.1521, current_lr: 0.000030
step 477, loss: 3.4245, current_lr: 0.000030
step 478, loss: 3.6331, current_lr: 0.000030
step 479, loss: 3.0659, current_lr: 0.000030
step 480, loss: 3.4435, current_lr: 0.000030
step 481, loss: 3.5594, current_lr: 0.000030
step 482, loss: 3.4671, current_lr: 0.000030
step 483, loss: 4.0777, current_lr: 0.000030
step 484, loss: 3.8215, current_lr: 0.000030
step 485, loss: 3.5915, current_lr: 0.000030
step 486, loss: 4.1619, current_lr: 0.000030
step 487, loss: 4.0826, current_lr: 0.000030
step 488, loss: 3.7650, current_lr: 0.000030
step 489, loss: 4.0453, current_lr: 0.000031
step 490, loss: 3.9124, current_lr: 0.000031
step 491, loss: 3.1869, current_lr: 0.000031
step 492, loss: 4.1517, current_lr: 0.000031
step 493, loss: 3.3277, current_lr: 0.000031
step 494, loss: 3.8736, current_lr: 0.000031
step 495, loss: 4.2776, current_lr: 0.000031
step 496, loss: 3.8897, current_lr: 0.000031
step 497, loss: 3.7465, current_lr: 0.000031
step 498, loss: 3.8077, current_lr: 0.000031
step 499, loss: 4.0292, current_lr: 0.000031
step 500, loss: 4.2166, current_lr: 0.000031
step 501, loss: 3.2207, current_lr: 0.000031
step 502, loss: 3.8898, current_lr: 0.000032
step 503, loss: 3.9769, current_lr: 0.000032
step 504, loss: 4.0566, current_lr: 0.000032
step 505, loss: 2.7145, current_lr: 0.000032
step 506, loss: 3.8048, current_lr: 0.000032
step 507, loss: 4.2347, current_lr: 0.000032
step 508, loss: 3.8811, current_lr: 0.000032
